,alpha,subset,alpha_sim,alpha_sep,alpha_sim_err,alpha_sep_err,beta,beta_sim,beta_sep,beta_sim_err,beta_sep_err,gamma,gamma_sim,gamma_sep,gamma_sim_err,gamma_sep_err,sig_int,sig_int_sim,sig_int_sep,sig_int_sim_err,sig_int_sep_err
0,0.155,lowz,0.15500000000085912,0.16437716681462208,0.0,2.7755575615628914e-17,2.5,2.4999999999853917,2.560841207566046,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.10000000000047571,-0.0482020116195113,0.0,6.938893903907228e-18,0.0,1.5638177430930558e-12,0.01895707208853354,0.0,0.0
1,0.155,DES,0.15499993270834922,0.18072633652232897,0.0,2.7755575615628914e-17,2.5,2.5000017343574505,2.4460235145368596,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.09999986574924305,-0.07676026363256587,0.0,0.0,0.0,1.9475907260199386e-07,0.021070155412343295,2.6469779601696886e-23,3.469446951953614e-18
2,0.155,PS1,0.15499999999961242,0.16719288394817208,0.0,2.7755575615628914e-17,2.5,2.4999999999995985,2.4452833926641415,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.10000000000057309,-0.08997244499401763,1.3877787807814457e-17,1.3877787807814457e-17,0.0,3.877649536624123e-13,0.011605357623751297,5.048709793414476e-29,3.469446951953614e-18
3,0.155,SDSS,0.1550000000001715,0.16510696856849802,0.0,0.0,2.5,2.4999999999911235,2.4891273601456096,0.0,0.0,-0.1,-0.09999999999995136,-0.08076212372263508,1.3877787807814457e-17,0.0,0.0,7.000575084350333e-13,0.011668176061798352,1.0097419586828951e-28,0.0
4,0.155,SNLS,0.1549999999995526,0.17280516418339215,0.0,0.0,2.5,2.49999999999922,2.450337896381996,0.0,0.0,-0.1,-0.09999999999960739,-0.08770176916480281,1.3877787807814457e-17,0.0,0.0,4.929009790410228e-13,0.015247445891779551,1.0097419586828951e-28,1.734723475976807e-18
5,0.155,lowz,0.15487259910131396,0.1642017865014492,0.0008692234418449492,0.000859485073977844,2.5,2.502273609714933,2.5628035158488434,0.009762059692806527,0.009851854525163883,-0.1,-0.09948833784277436,-0.04795538016694396,0.002609226732398767,0.0012576997726792202,0.01,0.009820889404173775,0.02127395615299206,0.0006355992279932005,0.00046879669723764897
6,0.155,DES,0.15514734536917005,0.18082230756963896,0.0009689726068102875,0.0007549466129939721,2.5,2.5022323058987457,2.4483620159000825,0.008032646776898559,0.007977062915106383,-0.1,-0.0997999087731891,-0.07660677612418451,0.0015831231439156761,0.0012152094017963426,0.01,0.010027853576976968,0.023301566721112513,0.0004927542745788824,0.0003559625211721993
7,0.155,PS1,0.15484427801323367,0.16704217326680454,0.00075380377578519,0.000696282640581001,2.5,2.4997245088840763,2.4449854128868562,0.007133222254186531,0.0071930404109956944,-0.1,-0.10004110024618237,-0.09000942389043393,0.0012412975569505984,0.001116825761511727,0.01,0.009965864667350612,0.015303981261001904,0.0003836518431862972,0.0002638499563054039
8,0.155,SDSS,0.15499965037236363,0.16513473516472987,0.000680047838409957,0.0006719401337755482,2.5,2.5003090289290424,2.4894061428567453,0.0071636797474385104,0.00717485777293379,-0.1,-0.10027818651728411,-0.08098679306197955,0.0010612936159341045,0.0008571232631485081,0.01,0.009921124864886874,0.015344089326773303,0.0004152163004956101,0.0002832814020573603
9,0.155,SNLS,0.1552582597577784,0.1730306620403513,0.0009453793973378684,0.0008848648851105727,2.5,2.499967616233626,2.4503968919988437,0.007688485474767719,0.00775116336342006,-0.1,-0.0998159977611406,-0.08754039594585455,0.0013333343352752202,0.0011693578008981924,0.01,0.0099719061342006,0.01819957389750859,0.0004485755918855705,0.0002946390977914244
10,0.155,lowz,0.15496710721320567,0.16430434550702994,0.001552476967038554,0.0014235553418706867,2.5,2.4979258738016212,2.558508015971761,0.02121965238440832,0.020698384892029943,-0.1,-0.09957419419126545,-0.04799676465424239,0.00495204357648178,0.0023869846204495455,0.02,0.01930090792555417,0.027021656748747045,0.0014894734138484924,0.001331005501014488
