,alpha,subset,alpha_sim,alpha_sep,alpha_sim_err,alpha_sep_err,beta,beta_sim,beta_sep,beta_sim_err,beta_sep_err,gamma,gamma_sim,gamma_sep,gamma_sim_err,gamma_sep_err,sig_int,sig_int_sim,sig_int_sep,sig_int_sim_err,sig_int_sep_err
0,0.05,lowz,0.05000000000036076,0.059377166814548146,6.938893903907228e-18,6.938893903907228e-18,3.5,3.499999999999409,3.5608412075673006,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.0999999999993242,-0.04820201161946033,1.3877787807814457e-17,0.0,0.0,4.057291861426864e-13,0.018957072088545506,5.048709793414476e-29,0.0
1,0.05,DES,0.04999994748882707,0.07572633652250182,6.938893903907228e-18,0.0,3.5,3.500001373575374,3.446023514540852,0.0,0.0,-0.1,-0.09999989752530437,-0.07676026363250331,0.0,0.0,0.0,1.5273656004680576e-07,0.021070155412395403,0.0,3.469446951953614e-18
2,0.05,PS1,0.04999999999921168,0.06219288394827936,6.938893903907228e-18,6.938893903907228e-18,3.5,3.500000000001514,3.4452833926645736,0.0,4.440892098500626e-16,-0.1,-0.10000000000116836,-0.08997244499398749,1.3877787807814457e-17,1.3877787807814457e-17,0.0,7.88398788201268e-13,0.011605357623813,1.0097419586828951e-28,0.0
3,0.05,SDSS,0.050000000000185646,0.06010696856861264,0.0,0.0,3.5,3.49999999999313,3.489127360144902,4.440892098500626e-16,8.881784197001252e-16,-0.1,-0.0999999999996964,-0.08076212372282755,1.3877787807814457e-17,1.3877787807814457e-17,0.0,5.63140062385373e-13,0.011668176061824213,0.0,1.734723475976807e-18
4,0.05,SNLS,0.050000000000676226,0.06780516418352217,0.0,0.0,3.5,3.5000000000050333,3.450337896382458,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.10000000000094204,-0.08770176916467017,1.3877787807814457e-17,2.7755575615628914e-17,0.0,9.490231566230103e-13,0.015247445891875811,0.0,1.734723475976807e-18
5,0.05,lowz,0.04983909428234872,0.059266094902192624,0.004207826563402082,0.004131857457009754,3.5,3.504497151050586,3.565661691760087,0.051940011866062355,0.05105471998486837,-0.1,-0.10053143775506715,-0.04845817530787108,0.012528763906003852,0.006039116233912834,0.05,0.04916008406464366,0.052778864853156277,0.0033018556560112807,0.003293777740095518
6,0.05,DES,0.04893975554241601,0.07482104773649062,0.004279136906349535,0.0032200599187389824,3.5,3.4830101744797926,3.4287073117898865,0.04922953235868321,0.0494163395956023,-0.1,-0.1006020162028345,-0.07722245158926265,0.007575308523664002,0.005814826452107097,0.05,0.04907211483279773,0.05348037662353645,0.0023580204591330525,0.002311586826773062
7,0.05,PS1,0.04974087635047165,0.06192014158704619,0.0040356023660999135,0.003781134884032652,3.5,3.501504605394008,3.4468491131881653,0.04161379891860622,0.040800681712344196,-0.1,-0.09988830606657242,-0.08987195123122513,0.007472405983081062,0.006723106362877399,0.05,0.04972494153592009,0.05106517701671406,0.0017516419916956336,0.001766753150299439
8,0.05,SDSS,0.050276401542373034,0.06056988351711383,0.0032131468684117675,0.00320297596235119,3.5,3.499263087240739,3.4881898043264727,0.03700971399965613,0.03689553920354191,-0.1,-0.1018453941452837,-0.08225250322545913,0.005684059306286055,0.004590567009536846,0.05,0.04997879094973754,0.05137804841843164,0.0018411181591941593,0.0017952270728875677
9,0.05,SNLS,0.050257382723409384,0.0680688980673889,0.0032777937045665524,0.003063811183688839,3.5,3.494164034049075,3.444484215798162,0.038356319961312495,0.038194519255046286,-0.1,-0.10003567032854421,-0.08773305267396926,0.00697664173596928,0.006118638230817602,0.05,0.04944517492141285,0.051758890570022385,0.0022682415173676577,0.0021839336167531727
10,0.05,lowz,0.04832339040766044,0.0586036724730721,0.008769373028422588,0.008026400119081087,3.5,3.496900011766468,3.5636008380765616,0.09587117933532843,0.09383287860494775,-0.1,-0.10963100335856994,-0.052844348977495036,0.028393145950939135,0.013686067510523583,0.1,0.09765258779153338,0.09999107468759078,0.00681089643017364,0.006715545683321796
11,0.05,DES,0.05145712421732413,0.07734543468711627,0.007966526508864532,0.007360089700988793,3.5,3.4875768507514686,3.433259259417601,0.06768473303674165,0.06591815598677564,-0.1,-0.10062929581308114,-0.07724339174608438,0.018468596514720517,0.014176542872179584,0.1,0.09957032588336069,0.1018838928768633,0.004671324474493337,0.004521462539761157
