,alpha,subset,alpha_sim,alpha_sep,alpha_sim_err,alpha_sep_err,beta,beta_sim,beta_sep,beta_sim_err,beta_sep_err,gamma,gamma_sim,gamma_sep,gamma_sim_err,gamma_sep_err,sig_int,sig_int_sim,sig_int_sep,sig_int_sim_err,sig_int_sep_err
0,0.05,lowz,0.049999999999561735,0.05937716681459904,6.938893903907228e-18,6.938893903907228e-18,2.9,2.900000000009749,2.960841207566395,0.0,4.440892098500626e-16,-0.1,-0.09999999999914387,-0.04820201161962576,1.3877787807814457e-17,1.3877787807814457e-17,0.0,1.0111353553645634e-12,0.018957072088498537,0.0,3.469446951953614e-18
1,0.05,DES,0.04999994276062058,0.07572633652247497,6.938893903907228e-18,1.3877787807814457e-17,2.9,2.9000014843500113,2.846023514537732,4.440892098500626e-16,0.0,-0.1,-0.09999988811473239,-0.0767602636323676,0.0,0.0,0.0,1.656273343321867e-07,0.021070155412438667,2.6469779601696886e-23,3.469446951953614e-18
2,0.05,PS1,0.05000000000013086,0.06219288394842925,0.0,6.938893903907228e-18,2.9,2.900000000000154,2.8452833926642525,0.0,4.440892098500626e-16,-0.1,-0.09999999999972103,-0.08997244499406089,1.3877787807814457e-17,1.3877787807814457e-17,0.0,1.5872793357412962e-13,0.011605357623924785,5.048709793414476e-29,1.734723475976807e-18
3,0.05,SDSS,0.049999999999505086,0.060106968568579736,0.0,6.938893903907228e-18,2.9,2.9000000000254427,2.889127360144364,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.10000000000140101,-0.0807621237227158,1.3877787807814457e-17,1.3877787807814457e-17,0.0,2.0654714081041636e-12,0.011668176061836368,0.0,1.734723475976807e-18
4,0.05,SNLS,0.05000000000010708,0.06780516418324778,6.938893903907228e-18,0.0,2.9,2.90000000000419,2.8503378963849246,0.0,0.0,-0.1,-0.10000000000014157,-0.08770176916490537,1.3877787807814457e-17,1.3877787807814457e-17,0.0,3.7672760978500086e-13,0.015247445891606662,5.048709793414476e-29,0.0
5,0.05,lowz,0.05005288367467114,0.0594340118054236,0.004319992459501304,0.003955804111194511,2.9,2.8963346209480796,2.957201530442737,0.058852738526613234,0.0576800547787621,-0.1,-0.10004224427493585,-0.048222374209887,0.014424203630994541,0.006952756310147013,0.05,0.04882126542742074,0.05246664550129368,0.0031230155360926068,0.0027697557664279255
6,0.05,DES,0.050093981114803246,0.07576476520975489,0.0035386798361737564,0.0033032417540566424,2.9,2.8912030870945697,2.837341790465753,0.048178770051207784,0.04765327416405255,-0.1,-0.09978372915977607,-0.07659433956610252,0.0070798970720713904,0.005434547404283603,0.05,0.04900391535640979,0.05335070975487669,0.0027827890505408254,0.002662508373075991
7,0.05,PS1,0.05061324234008554,0.06274697076327204,0.0034362172191289985,0.0033227497725027712,2.9,2.9061245330636067,2.8516733911937955,0.03264043359028106,0.0323265416429621,-0.1,-0.09951483565990855,-0.0895359307751246,0.00591786799289486,0.0053244505247799475,0.05,0.049615988389684666,0.05094986412365644,0.002057917712549089,0.001986194936914165
8,0.05,SDSS,0.0490972380254999,0.0591019870970483,0.003197906858171226,0.003045897481542958,2.9,2.9029943879153564,2.8922317113794906,0.037922356918028435,0.037980806003390225,-0.1,-0.09898862357939966,-0.0799453146467125,0.007325502639430609,0.005916231505029936,0.05,0.049452072156778465,0.05079101152165821,0.0019081570139719772,0.0018864276491273163
9,0.05,SNLS,0.05092940873018922,0.06845145127509747,0.0037366734354034297,0.003694331893046889,2.9,2.905072761181821,2.8562003394796935,0.039337655281556874,0.0397553818600241,-0.1,-0.09840989032393484,-0.08630721484719615,0.006542187543813604,0.005737614218123069,0.05,0.05016712724122779,0.05237520956756194,0.002367809860681588,0.0023085730298749506
10,0.05,lowz,0.0511465987290743,0.06057900187138759,0.008855122659014454,0.008310546694061376,2.9,2.8973532449277157,2.958552838449296,0.10818293341695027,0.1066838467843703,-0.1,-0.10058905135077433,-0.04848594622007794,0.027119606427152526,0.013072195840973022,0.1,0.09761692237964015,0.09958541771351938,0.006862988517312955,0.006996875674164372
11,0.05,DES,0.05228801943786128,0.07687121544115129,0.008688242791656555,0.007860044828284438,2.9,2.879807177645591,2.8282277465329617,0.08405526877791122,0.08321243171517953,-0.1,-0.09555619979949136,-0.07334927727037631,0.018545733439174657,0.014235753311504059,0.1,0.09848828396442631,0.10059710764230932,0.005178663215149326,0.005255899322224643
12,0.05,PS1,0.048794632627775586,0.06077203709731561,0.005433194649873923,0.0052971778964135425,2.9,2.9120658303564904,2.858316205570237,0.058528939376571644,0.06042401237519799,-0.1,-0.09823274395492579,-0.08838240152109506,0.013277532182583858,0.011946120339610617,0.1,0.09889936388667689,0.09956636501701381,0.004529621909212245,0.004525588797894809
13,0.05,SDSS,0.04994613852512485,0.06001576876528621,0.005999245515303026,0.005743272462512095,2.9,2.9051719069286093,2.894339434035262,0.07519222978961031,0.07493801593273136,-0.1,-0.0996305684725796,-0.08046376297553472,0.014674668869922153,0.01185157422853365,0.1,0.09923763936484166,0.09993253449118895,0.0038755470166190013,0.0038329613707195702
14,0.05,SNLS,0.0500573419687922,0.0681513483282211,0.008724374103819143,0.008853413097237786,2.9,2.875599776533966,2.825132035296788,0.0862421477539406,0.08607164310311367,-0.1,-0.10162223820701709,-0.08912450077207204,0.014354976643340595,0.01258956847935013,0.1,0.09717724176773235,0.09843334232105598,0.005415509532929041,0.0053385933797428725
15,0.05,lowz,0.04999999999986926,0.04999999999998088,0.0,6.938893903907228e-18,2.9,2.899999999995,2.900000000000211,0.0,4.440892098500626e-16,0.0,3.006483950684924e-13,1.3799687026318903e-14,0.0,1.5777218104420236e-30,0.0,5.422711317324752e-13,2.8029988357097115e-14,0.0,0.0
16,0.05,DES,0.04999994364145162,0.049999999999700506,0.0,0.0,2.9,2.9000014809144528,2.8999999999993364,0.0,4.440892098500626e-16,0.0,1.1116174702952009e-07,-2.3738904148515597e-13,0.0,5.048709793414476e-29,0.0,1.6474673269887137e-07,2.4302336554555747e-13,0.0,5.048709793414476e-29
17,0.05,PS1,0.04999999999967824,0.0500000000000801,0.0,6.938893903907228e-18,2.9,2.8999999999984523,2.8999999999999737,4.440892098500626e-16,0.0,0.0,-4.354294702579864e-13,3.9927306817175855e-14,0.0,0.0,0.0,3.4537208147585036e-13,6.723899350761413e-14,0.0,0.0
18,0.05,SDSS,0.04999999999991297,0.050000000000001814,6.938893903907228e-18,6.938893903907228e-18,2.9,2.9000000000129806,2.899999999999987,4.440892098500626e-16,4.440892098500626e-16,0.0,-2.0689006063889792e-13,3.3289524204357e-16,0.0,4.930380657631324e-32,0.0,9.956824090296096e-13,2.309264406521492e-15,0.0,3.944304526105059e-31
19,0.05,SNLS,0.05000000000022475,0.05000000000013569,6.938893903907228e-18,0.0,2.9,2.900000000006009,2.9000000000000528,0.0,4.440892098500626e-16,0.0,4.5352610555937645e-14,8.722242388752063e-14,0.0,2.524354896707238e-29,0.0,5.505749902406067e-13,1.133655180293234e-13,1.0097419586828951e-28,0.0
20,0.05,lowz,0.049686218912264365,0.04985316182146537,0.004169230768796172,0.0038314677183976316,2.9,2.896592941386816,2.8976761052488986,0.05181227929071911,0.049857663035684965,0.0,-0.001780312886241866,-0.0008581466242154846,0.012263961175884842,0.005911475991259143,0.05,0.04972958773003474,0.049785272250473946,0.0033369399623130367,0.0033335773723414753
21,0.05,DES,0.05033316403882668,0.0503473003000869,0.005313612528638903,0.004241508974620586,2.9,2.891619095711398,2.8915880716327207,0.0404072531327971,0.04052234577256161,0.0,-5.461780862583074e-05,-4.2010250989638184e-05,0.009111148965440598,0.006993741567560533,0.05,0.05006948509217585,0.05010671140222287,0.0028127328474290758,0.002804957074343032
22,0.05,PS1,0.049070672473885385,0.049162311878468035,0.003494801771100147,0.003545575486558926,2.9,2.8990343947252977,2.8986231550764114,0.032723696880854206,0.03304216645915551,0.0,-0.0007515810453503572,-0.0006762158426900546,0.005135593380205164,0.004620618929132547,0.05,0.04958288140013102,0.04958656584706616,0.0018852734090700873,0.001884595439588955
23,0.05,SDSS,0.05059691040739019,0.050714670634178935,0.002598475126285297,0.002502333334579826,2.9,2.8934840396423236,2.8933573582808134,0.04019048486884167,0.04029410275687219,0.0,-0.0011651389436666314,-0.0009409909552148186,0.005696254384684338,0.00460041601378795,0.05,0.049276437135262086,0.04928112896728458,0.0022031346895939937,0.0022026410794549994
24,0.05,SNLS,0.04984447499381283,0.04976724495025303,0.00456709241754506,0.004317998992966816,2.9,2.8916574389485565,2.891872848725561,0.03940149298782708,0.039929781950101155,0.0,0.0004337508090420239,0.0003804071332129369,0.00705597199684382,0.006188212272837743,0.05,0.04959375098087428,0.04960550461198511,0.0017733013652143875,0.0017721414499049383
25,0.05,lowz,0.049882635587824097,0.050193315032249594,0.009566856335842507,0.009198553150845896,2.9,2.890424299416969,2.892440058857552,0.11440492811787559,0.11446119999097992,0.0,-0.0033131483163159016,-0.001597004136238262,0.02499203896011449,0.012046665523417835,0.1,0.09846418574328063,0.09857890996192528,0.006138712723225184,0.006157841903129473
26,0.05,DES,0.04888230466206071,0.04924562889923901,0.008985510057803436,0.008583137712211279,2.9,2.8793205733049945,2.8785569178652026,0.09208653042280457,0.09244475293232413,0.0,-0.0014119350368060396,-0.001083890492106853,0.017809716316444044,0.013670784912163092,0.1,0.09911943386894377,0.0991910928839001,0.0045878708830404775,0.0045834330158170036
27,0.05,PS1,0.05131770971284896,0.051049675885151774,0.006113978886149417,0.005811299209452966,2.9,2.887333347156658,2.8885361718348497,0.07969391709356262,0.07940499178707544,0.0,0.002198280807819826,0.0019778469907068942,0.012083884589713937,0.010872166415714351,0.1,0.10042327855709245,0.10043352610753517,0.0050320159353463255,0.005029378055317199
28,0.05,SDSS,0.05072873743901443,0.050793216695200434,0.006095454798501409,0.006039604618995116,2.9,2.898022499245188,2.8979531352501686,0.0774286607131877,0.07709895794000882,0.0,-0.0006379683063124031,-0.0005152367528928573,0.014045089203795083,0.01134311231974914,0.1,0.09954647418778306,0.09956008051306847,0.003763829118566428,0.0037614527153355145
29,0.05,SNLS,0.05164418610676208,0.05181435536071042,0.00823693916179241,0.007357118981338317,2.9,2.8976601464338967,2.897185510925888,0.07793607621064695,0.07632204667735551,0.0,-0.0009557297663682807,-0.0008381919134524861,0.015477641479231322,0.01357416540226119,0.1,0.09983087724883691,0.09985937929508522,0.004714253787878038,0.00470352887662546
30,0.05,lowz,0.05000000000156158,0.040622833185329416,6.938893903907228e-18,6.938893903907228e-18,2.9,2.8999999999494133,2.839158792434273,0.0,4.440892098500626e-16,0.1,0.10000000000323041,0.04820201161949254,1.3877787807814457e-17,1.3877787807814457e-17,0.0,5.012004737933928e-12,0.018957072088549118,0.0,3.469446951953614e-18
31,0.05,DES,0.04999994488143953,0.024273663477661245,0.0,0.0,2.9,2.9000014675445795,2.953976485459314,0.0,4.440892098500626e-16,0.1,0.10000010971811493,0.07676026363245336,1.3877787807814457e-17,0.0,0.0,1.627799859327549e-07,0.0210701554122727,0.0,3.469446951953614e-18
32,0.05,PS1,0.04999999999984753,0.03780711605203896,0.0,0.0,2.9,2.9000000000009614,2.954716607337191,8.881784197001252e-16,0.0,0.1,0.09999999999985457,0.08997244499421855,0.0,0.0,0.0,1.5935153085603027e-13,0.011605357623636873,0.0,0.0
33,0.05,SDSS,0.05000000000025679,0.03989303143152073,6.938893903907228e-18,6.938893903907228e-18,2.9,2.899999999983675,2.9108726398541847,4.440892098500626e-16,4.440892098500626e-16,0.1,0.10000000000065089,0.0807621237225196,1.3877787807814457e-17,0.0,0.0,1.2911454791051104e-12,0.011668176061816032,2.0194839173657902e-28,0.0
34,0.05,SNLS,0.05000000000031623,0.032194835816694745,6.938893903907228e-18,6.938893903907228e-18,2.9,2.9000000000088284,2.949662103617671,4.440892098500626e-16,0.0,0.1,0.09999999999872611,0.08770176916475285,0.0,2.7755575615628914e-17,0.0,1.0394666339065005e-12,0.015247445891706323,0.0,0.0
35,0.05,lowz,0.05041238972876231,0.041133443741656395,0.00406818363793656,0.0035787668857585773,2.9,2.887565503740441,2.827361575411979,0.04725110326231589,0.046984115342800704,0.1,0.09895255326669357,0.04769712122335802,0.01238883665004629,0.005971668481724493,0.05,0.04949740565254822,0.05299170444869361,0.0029736000696391016,0.0028481643455899684
36,0.05,DES,0.0496553169324604,0.02365313275381456,0.004100602610438199,0.004059852236051692,2.9,2.894644268250472,2.949198158396146,0.048935317121071326,0.04900236857951327,0.1,0.10107256234341917,0.07758348109566653,0.007046256003181965,0.005408724627351652,0.05,0.0493370390124432,0.05375836681383839,0.0021834696571759256,0.0021628709392191264
37,0.05,PS1,0.05085111990450113,0.03859020022923382,0.003442405230831677,0.0034573786500867857,2.9,2.907642356779773,2.9626642802486938,0.03069057245077303,0.030395120709980853,0.1,0.1005579953626955,0.0904744870647871,0.007032186505949722,0.006327030136051939,0.05,0.04974163169038622,0.051098996861559484,0.001720335965906428,0.0017145316114200988
38,0.05,SDSS,0.04949030927117039,0.03933252708082892,0.0030001412369133895,0.0031167727849255923,2.9,2.903685747602938,2.9146130505568117,0.03922154155826669,0.03922827856310218,0.1,0.10050275828409577,0.08116816199001053,0.007641901988151443,0.006171762338395403,0.05,0.049509767251450176,0.05088853709841841,0.0020071371274774006,0.0019789565433646684
39,0.05,SNLS,0.050249192308868686,0.032475836003310866,0.003709898122518391,0.0035418677117350673,2.9,2.9030195178101623,2.952592903001666,0.03682686029843963,0.03715392997911282,0.1,0.0998213558860491,0.08754509511623075,0.006120482362081872,0.005367771312923335,0.05,0.04944458114464667,0.05175147399412548,0.002782511834919782,0.0026114207940679023
40,0.05,lowz,0.04997809795929437,0.0406243465558502,0.007831165401094324,0.007631596927274238,2.9,2.8783158828189928,2.817626599806118,0.09662550213435359,0.09352119827847025,0.1,0.09975029332882218,0.04808164798105682,0.02639279230684308,0.01272185681428972,0.1,0.09801056609002416,0.09993664183487544,0.006886137424093501,0.006983456776145928
41,0.05,DES,0.04926973394441015,0.024130310630263063,0.009104913131625222,0.008711462927745233,2.9,2.896986048087298,2.9497297783865553,0.0908283210393894,0.09013870057968239,0.1,0.09771895279069126,0.07500924159676844,0.016548506189154277,0.01270267664277289,0.1,0.097644348371162,0.09985159491444738,0.004427463992190806,0.004445891786213116
42,0.05,PS1,0.05013194433487093,0.038089333676408946,0.007164398916134829,0.007211291862135604,2.9,2.8937853583505353,2.947827601474227,0.06377993242189148,0.0646505221221789,0.1,0.09876753284619735,0.0888635641618844,0.012304806602342292,0.011070935351923822,0.1,0.09803361267506405,0.09871407752068338,0.004083765904960094,0.004027579048139924
43,0.05,SDSS,0.050767613972905856,0.04071003860000747,0.0060394934173073,0.00587922341811938,2.9,2.9046457086906163,2.915465213481366,0.07356820269452241,0.07332527530720509,0.1,0.099511295644068,0.08036743570617481,0.013517658311365836,0.010917147929925012,0.1,0.098897181115554,0.09959068787035631,0.004048030030077152,0.00400506049950086
44,0.05,SNLS,0.051922192517795424,0.03397331682513537,0.008490062645653447,0.007877169052237764,2.9,2.9018170664420313,2.9518800097133493,0.08012966263751706,0.08071493247164994,0.1,0.10080713386192214,0.08840963984094838,0.013986964800196603,0.012266815582096892,0.1,0.09822701450244839,0.09944845389517995,0.00396891709746098,0.00388646259097513
