,alpha,subset,alpha_sim,alpha_sep,alpha_sim_err,alpha_sep_err,beta,beta_sim,beta_sep,beta_sim_err,beta_sep_err,gamma,gamma_sim,gamma_sep,gamma_sim_err,gamma_sep_err,sig_int,sig_int_sim,sig_int_sep,sig_int_sim_err,sig_int_sep_err
0,0.125,lowz,0.12499999999777657,0.1343771668146015,1.3877787807814457e-17,0.0,2.9,2.900000000025378,2.9608412075658452,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.10000000000306652,-0.04820201161949425,0.0,6.938893903907228e-18,0.0,3.2717707076282635e-12,0.018957072088528606,4.0389678347315804e-28,0.0
1,0.125,DES,0.12499993747702791,0.15072633652241596,2.7755575615628914e-17,0.0,2.9,2.900001620969941,2.8460235145405126,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.09999987606412249,-0.07676026363238522,1.3877787807814457e-17,0.0,0.0,1.813932117872572e-07,0.021070155412335877,2.6469779601696886e-23,3.469446951953614e-18
2,0.125,PS1,0.12499999999982833,0.13719288394815643,2.7755575615628914e-17,0.0,2.9,2.8999999999975294,2.8452833926632173,0.0,0.0,-0.1,-0.10000000000010745,-0.08997244499400646,1.3877787807814457e-17,0.0,0.0,2.69376198881751e-13,0.01160535762377748,5.048709793414476e-29,0.0
3,0.125,SDSS,0.12499999999967805,0.13510696856849178,1.3877787807814457e-17,0.0,2.9,2.900000000016318,2.88912736014533,0.0,0.0,-0.1,-0.10000000000091731,-0.08076212372275204,1.3877787807814457e-17,0.0,0.0,1.3275957119946622e-12,0.01166817606176464,2.0194839173657902e-28,1.734723475976807e-18
4,0.125,SNLS,0.12500000000015302,0.14280516418324832,2.7755575615628914e-17,0.0,2.9,2.9000000000002144,2.8503378963826522,0.0,4.440892098500626e-16,-0.1,-0.1000000000004664,-0.08770176916481683,1.3877787807814457e-17,1.3877787807814457e-17,0.0,3.001991924459967e-13,0.015247445891653841,0.0,0.0
5,0.125,lowz,0.12515975301688334,0.13450335233572264,0.0007422597933702912,0.0007405315839788515,2.9,2.8982739890694167,2.95889740302969,0.010285169281236947,0.010335080386700524,-0.1,-0.09964202944752543,-0.048029462612190724,0.0027304342245670398,0.001316124222147773,0.01,0.009823678362370976,0.021300321559525957,0.0006442425502505737,0.0005350070401913449
6,0.125,DES,0.12503644571766534,0.15082742015777995,0.0009825047995122768,0.0008490146912649558,2.9,2.9008307430025906,2.846717150890639,0.0074539117985485456,0.0075845978394375865,-0.1,-0.10025088498875201,-0.07695293873751768,0.001607398533347372,0.001233843293038086,0.01,0.0099709893258097,0.023363245108435775,0.0005055003942622049,0.00036414760612576427
7,0.125,PS1,0.1249025829260149,0.1370810991025281,0.00065834502556263,0.000644416928458095,2.9,2.9010248430205676,2.8463727122851945,0.006930232659410194,0.006856713103435262,-0.1,-0.0998821626464977,-0.08986642384598803,0.0012352883586330115,0.0011114191390151327,0.01,0.009832778494896001,0.015203074874715705,0.0003664173489580149,0.0002682473601424285
8,0.125,SDSS,0.12486956315889461,0.13498786122069137,0.000611397971481649,0.0005942924043815945,2.9,2.8982322197426242,2.8873473921097226,0.007195223597985741,0.007180498477440527,-0.1,-0.10011209585941931,-0.08085265471942242,0.00119297494020225,0.0009634718971322203,0.01,0.009925059542848565,0.01533238243590831,0.00043857512842387534,0.0002971743556247838
9,0.125,SNLS,0.1249513430394208,0.14276086953214093,0.0008085680005583041,0.0007570151847598022,2.9,2.9001607930801305,2.850486522125255,0.008563543095225666,0.008653728783169183,-0.1,-0.10002450024740335,-0.08772325631511851,0.0015319565756647866,0.00134355301953798,0.01,0.009876007935098258,0.018174840449717598,0.00046262987727872085,0.00027898772636717086
