,alpha,subset,alpha_sim,alpha_sep,alpha_sim_err,alpha_sep_err,beta,beta_sim,beta_sep,beta_sim_err,beta_sep_err,gamma,gamma_sim,gamma_sep,gamma_sim_err,gamma_sep_err,sig_int,sig_int_sim,sig_int_sep,sig_int_sim_err,sig_int_sep_err
0,0.08,lowz,0.0799999999972899,0.08937716681465589,0.0,0.0,2.6,2.6000000000196297,2.660841207565436,4.440892098500626e-16,0.0,-0.1,-0.10000000000239684,-0.04820201161955632,0.0,0.0,0.0,3.272677756492108e-12,0.018957072088520932,0.0,0.0
1,0.08,DES,0.07999993831262137,0.10572633652207639,0.0,2.7755575615628914e-17,2.6,2.600001592446723,2.5460235145386823,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.09999987864229531,-0.0767602636327277,0.0,0.0,0.0,1.7821301661343292e-07,0.021070155412109864,2.6469779601696886e-23,3.469446951953614e-18
2,0.08,PS1,0.08000000000026258,0.09219288394818104,0.0,0.0,2.6,2.5999999999985413,2.5452833926628773,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.09999999999977563,-0.08997244499411869,0.0,0.0,0.0,2.627330952514273e-13,0.011605357623798229,5.048709793414476e-29,0.0
3,0.08,SDSS,0.08000000000017106,0.09010696856842453,0.0,1.3877787807814457e-17,2.6,2.5999999999846715,2.58912736014471,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.09999999999967119,-0.08076212372253443,0.0,1.3877787807814457e-17,0.0,1.1861704258723248e-12,0.011668176061783784,0.0,1.734723475976807e-18
4,0.08,SNLS,0.07999999999947727,0.09780516418350761,0.0,1.3877787807814457e-17,2.6,2.5999999999875807,2.5503378963814196,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.09999999999904861,-0.08770176916437686,1.3877787807814457e-17,0.0,0.0,1.2732889309034282e-12,0.015247445891893047,2.0194839173657902e-28,0.0
5,0.08,lowz,0.07980435510582556,0.08916225323618474,0.0008758889762522128,0.0007580641961970098,2.6,2.5998441928198104,2.6605603807449354,0.012104027421516334,0.011893724661807721,-0.1,-0.09979451486089103,-0.04810296364903574,0.0030172801007512973,0.0014543897046675875,0.01,0.009706422778872861,0.021272081859651622,0.0006481552501025215,0.0005963600247137689
6,0.08,DES,0.08002332404141393,0.10565047853152504,0.0010177969907960347,0.000942538463558722,2.6,2.598484012558878,2.544714157820975,0.008399690744310627,0.008401835381195063,-0.1,-0.09961411155740685,-0.07646414782289739,0.001497045062237824,0.00114913568263996,0.01,0.009902120348031607,0.02321350144786876,0.0005946389226523718,0.0004138214260297942
7,0.08,PS1,0.07995663768082652,0.09216205313602764,0.0007086964037917618,0.0006848462924744755,2.6,2.6003991457574234,2.5456263022131385,0.007554816221541743,0.007469436270817623,-0.1,-0.10010277721832432,-0.09006491617028824,0.0014349623565498534,0.0012910707167999406,0.01,0.009890863104594826,0.01526063327529252,0.0003796336757927467,0.0002746220109936012
8,0.08,SDSS,0.0800665850616035,0.09017057366992046,0.000590618662361868,0.0005919508990479544,2.6,2.5996177023190485,2.588748268177101,0.00847684720076561,0.008480014357699711,-0.1,-0.09997051578613853,-0.08073831164537956,0.0012629917427491636,0.0010200189538286995,0.01,0.0099669424768059,0.015346928580648114,0.0004391625538674478,0.00030392050883296833
9,0.08,SNLS,0.08004041788739862,0.097797129766419,0.0008034108314580587,0.0007438441148789398,2.6,2.6014930932835334,2.5519661326689462,0.0060118033602838015,0.005980009545003132,-0.1,-0.09972787499289566,-0.08746311071903434,0.001779274792945255,0.0015604554717705602,0.01,0.009932755699744658,0.0181677908937279,0.0004624247923182111,0.00031540014186718214
10,0.08,lowz,0.08060482776456489,0.08987763073008948,0.0017762650125636426,0.0017086919139067923,2.6,2.600668103544371,2.660832174537154,0.018891030124279666,0.018385875307887285,-0.1,-0.09888704284490016,-0.047665543882345285,0.005115090033606191,0.002465576292538712,0.02,0.01921311168395687,0.026867243014773244,0.001363979652069764,0.001229402919072256
11,0.08,DES,0.07987000296353823,0.10562231959963285,0.0015852851216936956,0.001454202083233926,2.6,2.5998768169931528,2.545844359791887,0.01486324568609707,0.014745795912869035,-0.1,-0.1001006253552461,-0.07683759706119708,0.0034270266859157245,0.002630594608559116,0.02,0.01974587575481178,0.028907165223801833,0.0010985822697696028,0.0009220210470156844
