,alpha,subset,alpha_sim,alpha_sep,alpha_sim_err,alpha_sep_err,beta,beta_sim,beta_sep,beta_sim_err,beta_sep_err,gamma,gamma_sim,gamma_sep,gamma_sim_err,gamma_sep_err,sig_int,sig_int_sim,sig_int_sep,sig_int_sim_err,sig_int_sep_err
0,0.095,lowz,0.094999999997628,0.10437716681464806,1.3877787807814457e-17,1.3877787807814457e-17,2.6,2.6000000000040098,2.6608412075654475,0.0,0.0,-0.1,-0.10000000000105569,-0.04820201161960016,0.0,0.0,0.0,2.5292591807647534e-12,0.018957072088506027,4.0389678347315804e-28,0.0
1,0.095,DES,0.09499993728198872,0.1207263365223696,1.3877787807814457e-17,1.3877787807814457e-17,2.6,2.6000016189597206,2.546023514538455,0.0,4.440892098500626e-16,-0.1,-0.09999987627057415,-0.07676026363247833,1.3877787807814457e-17,0.0,0.0,1.812851280536517e-07,0.021070155412342077,0.0,3.469446951953614e-18
2,0.095,PS1,0.09500000000090739,0.10719288394820654,1.3877787807814457e-17,1.3877787807814457e-17,2.6,2.5999999999997363,2.545283392662288,0.0,0.0,-0.1,-0.09999999999879121,-0.08997244499408236,1.3877787807814457e-17,1.3877787807814457e-17,0.0,8.668502459016851e-13,0.011605357623842363,1.0097419586828951e-28,3.469446951953614e-18
3,0.095,SDSS,0.09500000000010791,0.10510696856842677,0.0,1.3877787807814457e-17,2.6,2.5999999999910077,2.589127360145401,0.0,4.440892098500626e-16,-0.1,-0.09999999999963632,-0.08076212372265877,0.0,1.3877787807814457e-17,0.0,7.069688320591637e-13,0.011668176061747724,1.0097419586828951e-28,1.734723475976807e-18
4,0.095,SNLS,0.09500000000007906,0.11280516418337388,1.3877787807814457e-17,0.0,2.6,2.6000000000046875,2.550337896383093,4.440892098500626e-16,0.0,-0.1,-0.0999999999999719,-0.0877017691646456,1.3877787807814457e-17,0.0,0.0,4.067308697002728e-13,0.01524744589174816,5.048709793414476e-29,1.734723475976807e-18
5,0.095,lowz,0.09503062637384627,0.10443122192055596,0.0007651022305101186,0.0007505747693531793,2.6,2.6004795420915063,2.6614727606384063,0.008584954126593795,0.008509351934587397,-0.1,-0.10024984872733537,-0.04832244373214036,0.002448039228159314,0.0011800041534653597,0.01,0.00969696940296533,0.021344907718934793,0.0006369389924541788,0.0004645208047313847
6,0.095,DES,0.09495272499242731,0.12073352484056082,0.0009895360837414802,0.0008775705168902648,2.6,2.602219627063237,2.5481273850360204,0.007855792314168051,0.007690457094914799,-0.1,-0.10021133520664736,-0.07692258003727939,0.0017191747391900223,0.0013196429798487976,0.01,0.009929653850736589,0.023339782207410717,0.0005614071182518797,0.00036050863464894277
7,0.095,PS1,0.09533617090936525,0.10747673188164414,0.0006462388739888572,0.0006330473977915794,2.6,2.6000027600122957,2.5455209564956194,0.006882096987218666,0.006777525657057173,-0.1,-0.09957087284523433,-0.08958634880073894,0.0013281627428135185,0.0011949804930418025,0.01,0.009934315867009687,0.015242290344385335,0.00039561064464843334,0.00027268091318797595
8,0.095,SDSS,0.0949427969436727,0.10504664070722529,0.0005888407848906323,0.0005810828433236562,2.6,2.601745596162378,2.590876317838452,0.0057327765248864695,0.005750361966447348,-0.1,-0.09996908266834353,-0.08073715422904447,0.0011254321962569276,0.0009089229428398268,0.01,0.009864754883337937,0.015279684342508197,0.00035196934123742454,0.00021891089145910361
9,0.095,SNLS,0.09526579718448033,0.11305168575289835,0.0008193749395018904,0.0007115760387601444,2.6,2.6010308090896985,2.551422468953256,0.007175678606316479,0.007086193900724885,-0.1,-0.09989174143630596,-0.08760682448910445,0.0013963082147510051,0.0012245870072607895,0.01,0.009925720005904826,0.01818436760666009,0.0004811569513295088,0.000327171322639519
10,0.095,lowz,0.09480496781953539,0.1042163866775906,0.0020047187457366638,0.0017664451946721902,2.6,2.598160660258576,2.6592241029315473,0.022435134008763236,0.021715714316805253,-0.1,-0.10036527070535405,-0.04837807944731936,0.005471252085325505,0.002637253565830082,0.02,0.019294643120134666,0.027128825189021613,0.001365101458208872,0.0011180734935727873
11,0.095,DES,0.09510479410510962,0.12090300826198622,0.0018535534815229844,0.0017757728035929469,2.6,2.596606255242409,2.542477475130193,0.01542836431164224,0.015091824834443846,-0.1,-0.10027902548680304,-0.07697453935694222,0.0032692150362418236,0.002509457957722328,0.02,0.019760276844949822,0.028941645062534577,0.0009989858882420816,0.0008692887165145696
12,0.095,PS1,0.09518956015764761,0.10739014175530155,0.0014507807975469044,0.001439422147938728,2.6,2.5972448044494643,2.5424936532538123,0.013490718307668483,0.013379018566960768,-0.1,-0.10006313231127262,-0.09002924667809772,0.002769557504721438,0.0024918386025881757,0.02,0.019649783627865753,0.02283200662821883,0.0009185952627050757,0.0007842410614481998
13,0.095,SDSS,0.09482995696828912,0.10487737701696825,0.001278049842038215,0.0012552945164623422,2.6,2.5997465506637734,2.5889379705360995,0.014550860018239626,0.014574473172280385,-0.1,-0.09941081720607776,-0.08028628718582015,0.002340244732672353,0.00189003134629938,0.02,0.019888903875506694,0.02302934914644204,0.0008310034608869359,0.0007276421541538455
14,0.095,SNLS,0.09488040023561034,0.112789535372952,0.001757715685414441,0.0017742554061259044,2.6,2.60851241944177,2.558560320392901,0.013026169688801536,0.012964998433297315,-0.1,-0.1005839370691568,-0.0882138923051378,0.002899357916170587,0.0025427881868411244,0.02,0.01984126491965234,0.02508775372357952,0.0009326134444386574,0.0007438203211127712
