,alpha,subset,alpha_sim,alpha_sep,alpha_sim_err,alpha_sep_err,beta,beta_sim,beta_sep,beta_sim_err,beta_sep_err,gamma,gamma_sim,gamma_sep,gamma_sim_err,gamma_sep_err,sig_int,sig_int_sim,sig_int_sep,sig_int_sim_err,sig_int_sep_err
0,0.14,lowz,0.14000000000165846,0.1493771668146575,0.0,0.0,3.3,3.300000000013134,3.360841207566832,8.881784197001252e-16,0.0,-0.1,-0.09999999999991573,-0.04820201161941266,1.3877787807814457e-17,6.938893903907228e-18,0.0,2.322489734331434e-12,0.01895707208858595,0.0,3.469446951953614e-18
1,0.14,DES,0.13999993944092243,0.1657263365223468,0.0,0.0,3.3,3.300001579102589,3.2460235145395155,4.440892098500626e-16,4.440892098500626e-16,-0.1,-0.09999987974261514,-0.07676026363260435,1.3877787807814457e-17,0.0,0.0,1.7639867825346356e-07,0.021070155412302696,2.6469779601696886e-23,3.469446951953614e-18
2,0.14,PS1,0.14000000000019674,0.1521928839482536,0.0,0.0,3.3,3.299999999998404,3.2452833926631057,4.440892098500626e-16,0.0,-0.1,-0.09999999999965835,-0.08997244499396727,1.3877787807814457e-17,1.3877787807814457e-17,0.0,2.49411518390449e-13,0.011605357623853592,0.0,1.734723475976807e-18
3,0.14,SDSS,0.1400000000003316,0.15010696856855302,2.7755575615628914e-17,0.0,3.3,3.2999999999912113,3.2891273601438407,4.440892098500626e-16,8.881784197001252e-16,-0.1,-0.0999999999998078,-0.08076212372260473,0.0,0.0,0.0,7.456120224727169e-13,0.011668176061852243,0.0,0.0
4,0.14,SNLS,0.1399999999996624,0.15780516418335577,0.0,0.0,3.3,3.2999999999990224,3.2503378963828893,0.0,4.440892098500626e-16,-0.1,-0.09999999999975483,-0.08770176916458615,1.3877787807814457e-17,1.3877787807814457e-17,0.0,3.6206612908349127e-13,0.015247445891739788,5.048709793414476e-29,1.734723475976807e-18
5,0.14,lowz,0.1397854137645485,0.14918541659252882,0.0009180969961646719,0.0009255194592663567,3.3,3.2988839391967737,3.3598733120432716,0.009212426460249166,0.00935926113633036,-0.1,-0.1002435278544064,-0.048319396944426475,0.002534025091769615,0.0012214510691722562,0.01,0.009839120113213062,0.021411129303065754,0.0007623137552953247,0.0005538585048558036
6,0.14,DES,0.1399551621164012,0.16568921828431624,0.001004967695100797,0.0007998045800860174,3.3,3.29843440193087,3.24444026765388,0.009265204504034534,0.009331561750149707,-0.1,-0.1000296510833449,-0.07678311620292146,0.00180048233531968,0.001382054908269333,0.01,0.009939595269490615,0.02330702577721642,0.0005120037254303221,0.00044721118720345417
7,0.14,PS1,0.14007206769799685,0.15232080781361645,0.0006989323435572652,0.0007189494361815658,3.3,3.2989892481584184,3.244021981502538,0.0067778287386865595,0.006775706385117869,-0.1,-0.10045810464168714,-0.09038461294067886,0.001241599120657161,0.0011170970856960332,0.01,0.009823132528850621,0.015248961935615328,0.0004163936513876507,0.00027996625111808323
8,0.14,SDSS,0.14005420652072548,0.1501358512271774,0.0005480545560330165,0.0005173466570661655,3.3,3.2983534717385994,3.2875080741977816,0.008374815804104421,0.008382963605391182,-0.1,-0.09974944156656793,-0.08055976741057444,0.0008304725942094854,0.0006707073040183137,0.01,0.0099790312801352,0.015334668627444458,0.000407572389272787,0.00026352139704331057
9,0.14,SNLS,0.13997219168414335,0.1577594015428504,0.0006960720640113919,0.0007209408695840646,3.3,3.300745441203804,3.251133415728193,0.00829402114937245,0.008238451491407072,-0.1,-0.09989916226290635,-0.08761333268521881,0.001655950260709943,0.0014522976751211055,0.01,0.009881934033750352,0.018161355857454636,0.0004665889588284072,0.0003394235834075141
10,0.14,lowz,0.1403581923961266,0.14971313584653198,0.0015329026734312752,0.0015461563303153152,3.3,3.2978243665442757,3.358521383829687,0.01811131222265015,0.018788171099074807,-0.1,-0.09976300555967071,-0.04808777553177455,0.005261113997811846,0.002535962780701163,0.02,0.019947077756861248,0.02751657562976235,0.001413895844209473,0.0011777162147455999
11,0.14,DES,0.14040133992133838,0.1659771815772134,0.0021432726531946836,0.0018541726035028179,3.3,3.299059525700946,3.245397340928835,0.01637186698890338,0.016078819674779553,-0.1,-0.09941466047585765,-0.07631104784140823,0.003089162269706098,0.0023712489203430824,0.02,0.019883429677510767,0.028893483499597958,0.0009517014752590449,0.0007856574059362851
12,0.14,PS1,0.13986521087681578,0.15209980703110962,0.001441735669736531,0.0013066625365575357,3.3,3.3008219867300186,3.2459181923080886,0.01130143918923093,0.011225330272356943,-0.1,-0.1003421028715318,-0.09028024331200855,0.0027728614581899983,0.0024948112500861805,0.02,0.019770112270699535,0.022949681285921147,0.0008224350487169109,0.0007462189836319146
13,0.14,SDSS,0.13995252451133836,0.1500965027686047,0.001081766455493223,0.0010175913469327937,3.3,3.3048798414569536,3.293967388178455,0.016459567744819544,0.016455535068963283,-0.1,-0.10036617991319569,-0.0810578583971708,0.0024823730740716823,0.002004817213244418,0.02,0.01990043069712076,0.023095604862336035,0.0006749333615580807,0.0005521304136463204
14,0.14,SNLS,0.1400346645652877,0.15787529179502965,0.001410306064920748,0.0012806449429130138,3.3,3.301592943357704,3.25183192633155,0.016692201302021238,0.016732885085132317,-0.1,-0.10019917281295236,-0.08787644724526547,0.002464905132157138,0.0021617654091175735,0.02,0.01959796563885564,0.02485763296498741,0.0008239197678935206,0.0006403570032235281
15,0.14,lowz,0.13941828152962393,0.14880669767812452,0.0025760943559584534,0.00236501753322261,3.3,3.307912725796058,3.3688269216201103,0.03042928671104766,0.03017016736345531,-0.1,-0.1001199651699636,-0.0482598372449137,0.009400545669434057,0.004531252115991592,0.03,0.029468967048787056,0.03509593566546851,0.0020557270590569436,0.002080970444902028
16,0.14,DES,0.13946082745086238,0.16539083420741474,0.0027376842633871604,0.0023907825875914613,3.3,3.298939035410342,3.2445337777246612,0.028439866262925016,0.02744403233631645,-0.1,-0.10079132441821466,-0.07736777859598817,0.004998488913207336,0.003836852961846548,0.03,0.029619467263859098,0.03646079016406232,0.0013868323647916396,0.001400946243118045
17,0.14,PS1,0.14021190950773313,0.15247055064927195,0.0022732564898570247,0.002241449984626936,3.3,3.3061261799450783,3.25111448159098,0.020922809419797666,0.020578107127744723,-0.1,-0.10053930795737602,-0.09045767354944535,0.003740447410103734,0.0033653719884498344,0.03,0.029638659237411037,0.03185788369795673,0.0011843553734698475,0.0011213701151980549
18,0.14,SDSS,0.13988325007773286,0.14999895125403093,0.0017427860861259005,0.0015754246765726132,3.3,3.300830826806482,3.289948792789147,0.02154830427606795,0.021613815723690682,-0.1,-0.10008640184949616,-0.08083190369120756,0.004341181283296832,0.0035060301990088565,0.03,0.029438731116914068,0.03167704323357015,0.0010492036299698806,0.000971045600395955
19,0.14,SNLS,0.14025103455384927,0.15805451420650407,0.002553186942271075,0.0024100954685851387,3.3,3.307126886539182,3.257469481408851,0.02539318145297971,0.02490708655786294,-0.1,-0.09999053908952905,-0.08769347177871739,0.004305472387535865,0.003775975454767595,0.03,0.0295480747342913,0.033261026302218215,0.0013760028951255053,0.001248122846145978
20,0.14,lowz,0.1403753339127804,0.14972902302290994,0.0030985422090674787,0.002980094987698477,3.3,3.2964747571148814,3.3571636359503536,0.03909762775060449,0.03891201327055281,-0.1,-0.09974962902033957,-0.048081327770861944,0.0100329224566456,0.004836070448195862,0.04,0.03913233376053931,0.04351627825288428,0.002776904061245967,0.002564174689675979
21,0.14,DES,0.1394396421560126,0.16564993588036295,0.0038015307515613366,0.0031211344255028107,3.3,3.304558833701965,3.249565506285025,0.031604633392050004,0.03147466252006691,-0.1,-0.10188081894321392,-0.07820407739794509,0.006702306528058924,0.005144707845843672,0.04,0.0395905343629589,0.045062095947009696,0.0018236323787243656,0.0017167566948299432
22,0.14,PS1,0.1404067318938079,0.15252748741372457,0.002548758324704951,0.002527539246702793,3.3,3.292294731361848,3.23790180650316,0.02609054566175442,0.025694388054351817,-0.1,-0.09940843832632452,-0.0894402024925374,0.004117575215452044,0.0037046830959946296,0.04,0.03967434007961901,0.04132195720297025,0.0014114558250276701,0.0013657334447912202
23,0.14,SDSS,0.1397322929403412,0.14980272235036898,0.003055768751375567,0.0029748631018409145,3.3,3.2982186930820245,3.287385360470747,0.02685770530648836,0.026789031909329842,-0.1,-0.09963847558932168,-0.08047014893071341,0.004904621789900775,0.00396107671803452,0.04,0.03940475618351993,0.04109158318256052,0.0017468554532663137,0.0016611192869425708
24,0.14,SNLS,0.1396295008319084,0.15770067500077473,0.0028502294067095225,0.0027326939316881897,3.3,3.297846145920531,3.2474420881529737,0.030586797646755842,0.030602967602080255,-0.1,-0.10149400467640483,-0.08901203769722105,0.005212855362410415,0.00457176637682847,0.04,0.03947033950057069,0.042404144164421356,0.0018924405266321164,0.0018688229675003429
25,0.14,lowz,0.13856831975910075,0.14812144533599841,0.004448278462091564,0.00410930619027662,3.3,3.311262446626088,3.3732453149708443,0.04505727155638416,0.04582200845908782,-0.1,-0.10187645976490915,-0.0491065029735424,0.012295997888842652,0.005926918331098319,0.05,0.049012802002438315,0.05274341464960604,0.003153629319140113,0.002957995623214145
26,0.14,DES,0.14022185562776954,0.16607441998664577,0.004542697836230746,0.003749198856354769,3.3,3.298969889979798,3.2447271131295548,0.04361573958202419,0.04226525147588816,-0.1,-0.10049030030355459,-0.07713671178234051,0.008221562128801608,0.006310892263289526,0.05,0.049646487207748585,0.054000918721955,0.0023175230371551003,0.0023157755439473177
27,0.14,PS1,0.13984404905303066,0.15198505534270024,0.0028442542597655516,0.002707047409254203,3.3,3.295614149882331,3.2411303479658797,0.03370925608716263,0.03401512975879596,-0.1,-0.09957452511838578,-0.08958963484027561,0.005189877928399861,0.004669460064374903,0.05,0.04926424010266845,0.0506068682225182,0.002019959462583748,0.001973300690547772
28,0.14,SDSS,0.13967543631248833,0.1498601404084886,0.0028438446330429352,0.0026485158009061033,3.3,3.299068684984401,3.2881124206119745,0.03624036985413188,0.03636391890478979,-0.1,-0.10076912802239793,-0.08138328784784889,0.006084214130912964,0.00491374054393738,0.05,0.0494162115541396,0.050802260886736866,0.0021000399803193254,0.002062781765004884
29,0.14,SNLS,0.13930409568951282,0.15718627054144757,0.003274597555168967,0.0031007782474264433,3.3,3.302747099937075,3.252870198425337,0.04143196794162693,0.0405745473933365,-0.1,-0.10043251872165129,-0.08808109573554125,0.0073971518319215735,0.006487433024380896,0.05,0.0494724780633111,0.051805189130346145,0.002178447903807899,0.0020654879152996646
30,0.14,lowz,0.13991378649119507,0.1491234614922351,0.005192447688962812,0.004944429125034987,3.3,3.29361368066322,3.3533681629578473,0.06962917913466493,0.06979734755891365,-0.1,-0.09821383348747709,-0.04734104342958024,0.014033289509704104,0.006764327839861326,0.06,0.05890260269902948,0.0618423209964593,0.004413009524914918,0.004271195780003941
31,0.14,DES,0.14036321318897535,0.16588183775763835,0.005255302713903585,0.004706060150957822,3.3,3.2986110452198294,3.24506890785728,0.05631797387546334,0.05569618144296584,-0.1,-0.09919225384324255,-0.07614032791676639,0.00977564741124118,0.007503812323757857,0.06,0.05906618492861175,0.06269849376460136,0.002834573810893928,0.0026076634653928177
32,0.14,PS1,0.13899593132911564,0.15105866409875535,0.004308343914959813,0.0042272974903960646,3.3,3.2966153821377286,3.2424828393224137,0.033398573182496026,0.03384675763249612,-0.1,-0.09893256444413373,-0.08901204712571305,0.009158531245807865,0.008240154487345294,0.06,0.05960116520673348,0.0607082885011141,0.002813984958824341,0.0027704083013975096
